Project,Id,Date of observation,Latitude,Longitude,Observer,Upload date,Edition date,Highlighted,Highlight type,Validated,Species,Photo name,Comments,Editor,Editor comments,Link,Habitat,Depth,Abundance
Crustacis Decàpodes,423559,2024-01-21,39.9303,3.17744,Miquel Angel ,2024-02-15 07:30:53+00:00,2025-10-20 11:47:02.536413+00:00,No,No destacada,No,,MiquelAngelBonninNoguera_638435790537448201.webp,Es lo que parece una especie de crill que esta en la superficie y hay miles,,,https://www.observadoresdelmar.es/Observations/423559,,,100000
Crustacis Decàpodes,423565,2024-02-20,41.19794,1.67296,Pablo  Ruiz ,2024-02-20 14:27:56+00:00,2025-10-20 11:46:58.387923+00:00,No,No destacada,No,Xantho poressa,PabloRuiz_Xantho-poressa_638440360760014018.webp,,,,https://www.observadoresdelmar.es/Observations/423565,Pebble beach,,2
Crustacis Decàpodes,423581,2024-02-04,36.74808,-2.11524,Francisco Ruiz ,2024-02-21 00:38:34+00:00,2025-10-20 11:46:58.665996+00:00,No,No destacada,No,Inachus phalangium,FranciscoRuiz_Inachus-phalangium_638440727144616639.webp,Estaba en una charca intermareal junto a dos anémonas. En la fotografía se le ve dentro de una oquedad donde se refugió al verme,,,https://www.observadoresdelmar.es/Observations/423581,Rocks,,1
Crustacis Decàpodes,423595,2024-02-28,41.38588,2.19251,Òscar Chic Giménez ,2024-02-28 14:15:48+00:00,2024-12-02 08:38:01.034038+00:00,No,No destacada,No,,,,Òscar Chic Giménez ,,https://www.observadoresdelmar.es/Observations/423595,Pebble beach,9,1
Crustacis Decàpodes,423601,2024-02-11,36.72159,-3.72841, ,2024-02-29 18:54:15+00:00,2025-10-20 11:47:05.817187+00:00,No,No destacada,Yes,Percnon gibbesi,ClubUniversitariodeBuceoGranada_Percnon-gibbesi_638448296559195193.webp,,,,https://www.observadoresdelmar.es/Observations/423601,Rocks,3,1
Crustacis Decàpodes,423609,2024-01-24,40.62484,0.6636,Sofia Tapia Uceda,2024-03-01 14:10:19+00:00,2025-10-20 11:46:11.222541+00:00,No,No destacada,No,Pirimela denticulata,SofiaTapiaUceda_Pirimela-denticulata_638448990194116348.webp,,,,https://www.observadoresdelmar.es/Observations/423609,Mud,,1
Crustacis Decàpodes,423642,2024-03-06,41.38588,2.19251,Òscar Chic Giménez ,2024-03-06 10:08:54+00:00,2024-12-02 08:38:01.030122+00:00,No,No destacada,No,,,,Òscar Chic Giménez ,,https://www.observadoresdelmar.es/Observations/423642,Pebble beach,,
Crustacis Decàpodes,423657,2024-02-27,40.6257,0.66239,Patricia Prado Villegas,2024-03-08 08:40:51+00:00,2025-10-20 11:35:51.484626+00:00,No,No destacada,Yes,Eriphia verrucosa,PatriciaPradoVillegas_Eriphia-verrucosa_638454840508975099.webp,"Individus juvenils de 1,5-2 cm",,,https://www.observadoresdelmar.es/Observations/423657,Mud,1,2
Crustacis Decàpodes,423676,2024-03-17,39.79593,2.6758,Gerard pedrero ripoll ,2024-03-17 16:42:00+00:00,2025-10-20 11:36:29.023299+00:00,No,No destacada,Yes,Palinurus elephas,Gerardpedreroripoll_Palinurus-elephas_638462905205799823.webp,Temperatura 14 grados,,,https://www.observadoresdelmar.es/Observations/423676,Crevices,28,1
Crustacis Decàpodes,423729,2024-03-25,41.19801,1.67291,Pablo  Ruiz ,2024-03-25 16:09:16+00:00,2025-10-20 11:46:13.018280+00:00,No,No destacada,No,Maja crispata,PabloRuiz_Maja-crispata_638469797566331624.webp,,,,https://www.observadoresdelmar.es/Observations/423729,Pebble beach,,1
