Project,Id,Date of observation,Latitude,Longitude,Observer,Upload date,Edition date,Highlighted,Highlight type,Validated,Species,Photo name,Comments,Editor,Editor comments,Link,Habitat,Depth,Abundance
Crustacis Decàpodes,400009,2011-07-01,41.797999694590445,3.0621814727783203,Francesc Maynou,2012-04-24 16:36:55+00:00,2012-06-05 00:03:43+00:00,No,No destacada,Yes,Eriphia verrucosa,,,,,https://www.observadoresdelmar.es/Observations/400009,,,25
Crustacis Decàpodes,400010,2011-07-01,41.797999694590445,3.0621814727783203,Francesc Maynou,2012-04-24 16:37:41+00:00,2012-06-05 00:03:25+00:00,No,No destacada,Yes,Pachygrapsus marmoratus,,,,,https://www.observadoresdelmar.es/Observations/400010,,,50
Crustacis Decàpodes,400011,2011-08-26,41.1431,1.4136,Pere Abelló i Sala,2012-04-25 09:57:12+00:00,2025-10-20 11:35:38.212523+00:00,Yes,Fotografia excel·lent,Yes,Calcinus tubularis,4-594--20110826-20110826_026_2.webp,-1 m; en forats a esponges carbassa. Aquesta espècie sovint no fa servir closques de cargol sinó que habita forats a les roques o esponges.,,,https://www.observadoresdelmar.es/Observations/400011,,,25
Crustacis Decàpodes,400012,2011-08-26,41.1431,1.4136,Pere Abelló i Sala,2012-04-25 09:59:04+00:00,2012-06-05 00:02:46+00:00,No,No destacada,Yes,Clibanarius erythropus,,,,,https://www.observadoresdelmar.es/Observations/400012,,,2
Crustacis Decàpodes,400014,2011-08-11,41.1431,1.4136,Pere Abelló i Sala,2012-04-25 10:02:52+00:00,2012-06-05 00:01:48+00:00,No,No destacada,Yes,Pachygrapsus marmoratus,,al bloc,,,https://www.observadoresdelmar.es/Observations/400014,,,1
Crustacis Decàpodes,400015,2011-07-30,41.1431,1.4136,Pere Abelló i Sala,2012-04-25 10:06:03+00:00,2012-06-05 00:01:19+00:00,No,No destacada,Yes,Diogenes pugilator,,,,,https://www.observadoresdelmar.es/Observations/400015,,,1
Crustacis Decàpodes,400038,2009-07-04,41.1431,1.4136,Pere Abelló i Sala,2012-04-27 18:58:09+00:00,2012-06-04 23:58:22+00:00,No,No destacada,Yes,Clibanarius erythropus,,"Observé bastantes ejemplares, en la playa ""Baix a mar"" de Torredembarra.",,,https://www.observadoresdelmar.es/Observations/400038,,,25
Crustacis Decàpodes,400043,2009-09-03,41.1434,1.4133,Pere Abelló i Sala,2012-04-27 18:58:09+00:00,2014-10-28 00:42:43+00:00,No,No destacada,Yes,Portumnus latipes,,"Torredembarra, platja de Baix a Mar. 1 ejemplar",,,https://www.observadoresdelmar.es/Observations/400043,,,1
Crustacis Decàpodes,400040,2009-08-07,41.14434,1.41668,Pere Abelló i Sala,2012-04-27 18:58:09+00:00,2025-10-20 11:39:54.129228+00:00,Yes,Fotografia excel·lent,Yes,Maja crispata,4-635--20090807-maja_crispata.webp,"Aquesta espècie és comuna en fons de roca sublitorals, però costa molt de veure si no es belluga. Sovint es troben les seves mudes.",,,https://www.observadoresdelmar.es/Observations/400040,,,1
Crustacis Decàpodes,400034,2009-10-11,41.1431,1.4136,Pere Abelló i Sala,2012-04-27 19:00:05+00:00,2014-10-27 13:56:49+00:00,No,No destacada,Yes,Clibanarius erythropus,,Torredembarra: platja de Baix a Mar. Un ejemplar,,,https://www.observadoresdelmar.es/Observations/400034,,,1
Crustacis Decàpodes,400036,2009-07-04,41.1431,1.4136,Pere Abelló i Sala,2012-04-27 19:00:05+00:00,2012-06-04 23:59:41+00:00,No,No destacada,Yes,Pachygrapsus marmoratus,,"Observación de 3 ejemplares vistos en la playa ""Baix de mar"" de Torredembarra.",,,https://www.observadoresdelmar.es/Observations/400036,,,25
Crustacis Decàpodes,400037,2009-07-04,41.1431,1.4136,Pere Abelló i Sala,2012-04-27 19:00:05+00:00,2012-06-04 23:59:13+00:00,No,No destacada,Yes,Eriphia verrucosa,,"Ejemplar visto en la playa ""Baix de mar"" de Torredembarra.",,,https://www.observadoresdelmar.es/Observations/400037,,,1
Crustacis Decàpodes,400041,2009-09-03,41.1431,1.4136,Pere Abelló i Sala,2012-04-27 19:00:05+00:00,2014-10-27 13:58:42+00:00,No,No destacada,Yes,Porcellana platycheles,,"Playa de Baix a Mar, en Torredembarra. 1 ejemplar",,,https://www.observadoresdelmar.es/Observations/400041,,,1
Crustacis Decàpodes,400044,2009-08-25,41.8884,3.1887,Pere Abelló i Sala,2012-04-27 19:00:05+00:00,2025-10-20 11:39:54.228103+00:00,No,No destacada,Yes,Eriphia verrucosa,4-605--20090825-eriver_20090825_649.webp,Calella de Palafrugell ,,,https://www.observadoresdelmar.es/Observations/400044,,,25
Crustacis Decàpodes,400039,2009-07-04,41.1431,1.4136,Pere Abelló i Sala,2012-04-27 19:00:05+00:00,2025-10-20 11:42:07.242842+00:00,No,No destacada,Yes,Pachygrapsus maurus,4-642--20090704-p_maurus.webp,"Un mínim de 5 exemplars al Bloc de la platja de ""Baix a mar"" de Torredembarra.",,,https://www.observadoresdelmar.es/Observations/400039,,,25
Crustacis Decàpodes,400128,2011-08-21,41.1431,1.4136,Pere Abelló i Sala,2012-06-04 15:43:18+00:00,2014-10-28 00:44:12+00:00,No,No destacada,Yes,Clibanarius erythropus,,Platja de Torredembarra Baix a Mar. 1 m prof.,,,https://www.observadoresdelmar.es/Observations/400128,,,1
Crustacis Decàpodes,400176,2009-08-18,41.143,1.4136,Pere Abelló i Sala,2012-06-20 13:22:03+00:00,2025-10-20 11:39:54.321675+00:00,No,No destacada,Yes,Clibanarius erythropus,4-598--20090818-20090818_363_cliery.webp,,,,https://www.observadoresdelmar.es/Observations/400176,,,25
Crustacis Decàpodes,400177,2008-08-18,41.1427,1.417,Pere Abelló i Sala,2012-06-20 13:33:51+00:00,2025-10-20 11:39:54.347683+00:00,No,No destacada,Yes,Lysmata seticaudata,4-629--20080818-20080818_068_lysset.webp,8 m prof. Barra de Tres,,,https://www.observadoresdelmar.es/Observations/400177,,,25
Crustacis Decàpodes,400178,2008-08-18,41.1427,1.417,Pere Abelló i Sala,2012-06-20 13:34:31+00:00,2025-10-20 11:39:54.382763+00:00,No,No destacada,Yes,Calcinus tubularis,4-594--20080818-20080818_068_caltub.webp,8 m prof. Barra de Tres,,,https://www.observadoresdelmar.es/Observations/400178,,,25
Crustacis Decàpodes,400179,2005-09-25,41.143,1.4136,Pere Abelló i Sala,2012-06-20 15:31:30+00:00,2025-10-20 11:39:54.455253+00:00,No,No destacada,Yes,Eriphia verrucosa,4-605--20050925-eriver_0509250021.webp,Al Bloc. Baix a Mar Torredembarra,,,https://www.observadoresdelmar.es/Observations/400179,,,1
Crustacis Decàpodes,400180,2004-08-08,41.143,1.4136,Pere Abelló i Sala,2012-06-20 15:36:07+00:00,2025-10-20 11:38:48.180078+00:00,No,No destacada,Yes,Calcinus tubularis,4-594--20040808-caltub_04tdm0012.webp,PROF 2 m. Torredembarra,,,https://www.observadoresdelmar.es/Observations/400180,,,2
