Project,Id,Date of observation,Latitude,Longitude,Observer,Upload date,Edition date,Highlighted,Highlight type,Validated,Species,Photo name,Comments,Editor,Editor comments,Link,Protected level,Country code,Region,MPA name,Permanent location,Diver type,Skill in species recognition,Depth,Water temperature,Transect,Duration minutes,Coris julis,Diplodus puntazzo,Diplodus sargus,Diplodus vulgaris,Epinephelus marginatus,Fistularia commersonii,Muraena helena,Sarpa salpa,Sciaena umbra,Serranus cabrilla,Serranus scriba,Siganus,Sparisoma cretense,Sphyraena flavicauda,Sphyraena viridensis,Thalassoma pavo
Peixos i Escalfament,1714795,2020-07-27,41.19648,1.88654,Aqua Man ,2020-07-27 00:00:00+00:00,2020-07-27 00:00:00+00:00,No,No destacada,No,,,,Aqua Man ,,https://www.observadoresdelmar.es/Observations/1714795,Full,ES,CAT,Costes del Garraf,Test,Recreational advanced,Medium,21-30,,0,5,1,,,,1,,,,,111,,,,,,
Peixos i Escalfament,1714795,2020-07-27,41.19648,1.88654,Aqua Man ,2020-07-27 00:00:00+00:00,2020-07-27 00:00:00+00:00,No,No destacada,No,,,,Aqua Man ,,https://www.observadoresdelmar.es/Observations/1714795,Full,ES,CAT,Costes del Garraf,Test,Recreational advanced,Medium,21-30,,1,5,1,,,,,,,,,,,,,,,
Peixos i Escalfament,1714795,2020-07-27,41.19648,1.88654,Aqua Man ,2020-07-27 00:00:00+00:00,2020-07-27 00:00:00+00:00,No,No destacada,No,,,,Aqua Man ,,https://www.observadoresdelmar.es/Observations/1714795,Full,ES,CAT,Costes del Garraf,Test,Recreational advanced,Medium,Snorkel,,2,,,,,,,,,,,,,,,,,
Peixos i Escalfament,1714795,2020-07-27,41.19648,1.88654,Aqua Man ,2020-07-27 00:00:00+00:00,2020-07-27 00:00:00+00:00,No,No destacada,No,,,,Aqua Man ,,https://www.observadoresdelmar.es/Observations/1714795,Full,ES,CAT,Costes del Garraf,Test,Recreational advanced,Medium,Snorkel,,3,,,,,,,,,,,,,,,,,
Peixos i Escalfament,1714793,2020-07-27,42.19025,3.14377,Aqua Man ,2020-07-27 00:00:00+00:00,2020-07-27 00:00:00+00:00,No,No destacada,No,,,Test,Aqua Man ,,https://www.observadoresdelmar.es/Observations/1714793,Full,ES,CAT,Aiguamolls De L'Alt EmpordÃ,Test,Recreational advanced,Very good,1-3,,0,5,2,,,,1,,,,,,,,,,,3
Peixos i Escalfament,1714793,2020-07-27,42.19025,3.14377,Aqua Man ,2020-07-27 00:00:00+00:00,2020-07-27 00:00:00+00:00,No,No destacada,No,,,Test,Aqua Man ,,https://www.observadoresdelmar.es/Observations/1714793,Full,ES,CAT,Aiguamolls De L'Alt EmpordÃ,Test,Recreational advanced,Very good,1-3,,1,5,2,,,,,,,,,222,22,,,,,2
Peixos i Escalfament,1714793,2020-07-27,42.19025,3.14377,Aqua Man ,2020-07-27 00:00:00+00:00,2020-07-27 00:00:00+00:00,No,No destacada,No,,,Test,Aqua Man ,,https://www.observadoresdelmar.es/Observations/1714793,Full,ES,CAT,Aiguamolls De L'Alt EmpordÃ,Test,Recreational advanced,Very good,Snorkel,,2,,,,,,,,,,,,,,,,,
Peixos i Escalfament,1714793,2020-07-27,42.19025,3.14377,Aqua Man ,2020-07-27 00:00:00+00:00,2020-07-27 00:00:00+00:00,No,No destacada,No,,,Test,Aqua Man ,,https://www.observadoresdelmar.es/Observations/1714793,Full,ES,CAT,Aiguamolls De L'Alt EmpordÃ,Test,Recreational advanced,Very good,Snorkel,,3,,,,,,,,,,,,,,,,,
Peixos i Escalfament,1714802,2020-07-28,40.87986,9.63425,Ernesto Azzurro,2020-07-28 00:00:00+00:00,2020-07-28 00:00:00+00:00,No,No destacada,No,,,,,,https://www.observadoresdelmar.es/Observations/1714802,Out of MPA,IT,Sardegna,Out of MPA,PRUEBA,Researcher,Very good,1-3,33.0,0,5,,,,,11111,,,,,,,,1,,,
Peixos i Escalfament,1714802,2020-07-28,40.87986,9.63425,Ernesto Azzurro,2020-07-28 00:00:00+00:00,2020-07-28 00:00:00+00:00,No,No destacada,No,,,,,,https://www.observadoresdelmar.es/Observations/1714802,Out of MPA,IT,Sardegna,Out of MPA,PRUEBA,Researcher,Very good,1-3,33.0,1,5,,,,,1,,,,,,,,,,,22
