"MAPAMED_ID"	"PARENT_ID"	"WDPA_ID"	"N2000_ID"	"RAMSAR_ID"	"NAME"	"ORIG_NAME"	"DESIG_ENG"	"DESIG"	"DESIG_TYPE"	"DESIG_CAT_ENG"	"SITE_TYPE_ENG"	"PARENT_TYPE_ENG"	"IUCN_CAT_ENG"	"ISO3"	"MSFD_REGION"	"REP_M_AREA"	"GIS_M_AREA"	"REP_AREA"	"GIS_AREA"	"REP_M_PCT"	"GIS_M_PCT"	"STATUS_ENG"	"STATUS_YR"	"GOV_TYPE_ENG"	"MANG_AUTH"	"MANG_PLAN_ENG"	"PLAN_REF"	"GREEN_LIST_ENG"	"WEBSITE"	"GIS_PROVIDER"	"GIS_UPDATE"	"GIS_LOG"
1		900909		1290	Butrint	Butrint	Ramsar site	Ramsar site	International	Ramsar site	Site of conservation interest	Not reported	Not reported	{ALB}	{MAD,MIC}	29.1	5.52	135.0	146.12	22	4	Designated	2003	Federal or national ministry or agency	Office of Administration and Coordination of Butrint National Park and the Protected Areas Administration	Inexistent		Not listed	https://rsis.ramsar.org/ris/1290	Butrint Coordination and Administration office	2014-01-11	GIS layer digitised by MedPAN on Google Earth, based on the map displayed in the 2010 management plan.
2	2	181966			Butrinti	Butrinti	National Park (Albania)	Parku Kombëtar	National	MPA with a national statute	Marine Protected Area	Main	II - National park	{ALB}	{MAD,MIC}	7.54	7.06	94.24	94.23	8	7	Designated	2000	Federal or national ministry or agency	Butrint Coordination and Administration office	Fully implemented		Not listed	https://www.protectedplanet.net/181966	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1464	5	555599908			Karaburun Sazan National Marine Park	Karaburun Sazan National Marine Park	SPAMI	Specially Protected Area of Mediterranean Importance	Regional	SPAMI	Marine Protected Area	Secondary	Not assigned	{ALB}	{MAD}	124.28	121.66	124.28	124.21	100	98	Adopted	2016	Not reported	National Agency for Protected Areas (NAPA) represented by RAPA Vlore in regional level.	Inexistent		Not listed	http://rac-spa.org/spami	European Environment Agency	2020-06-23	GIS layer identical to that of the National Park (WDPA ID: 555513696)
5	5	555513696			Karaburun-Sazan	Karaburun-Sazan	National Park (Albania)	Parku Kombëtar	National	MPA with a national statute	Marine Protected Area	Main	II - National park	{ALB}	{MAD}	124.28	121.66	124.28	124.22	100	98	Designated	2010	Federal or national ministry or agency	National Agency for Protected Areas (NAPA) represented by RAPA Vlore in regional level.	Partially implemented		Not listed	https://www.protectedplanet.net/555513696	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1285	1285	11661			Kune-Vain-Tale	Kune-Vain-Tale	Managed Nature Reserve (Albania)	Rezervatit Natyror të Menaxhuar	National	MPA with a national statute	Marine Protected Area	Main	IV - Habitat/species management area	{ALB}	{MAD}		7.29	43.93	43.92	0	17	Designated	2010	Not reported	National Agency for Protected Areas (NAPA) represented by RAPA Vlore in regional level.	Fully implemented		Not listed	https://www.protectedplanet.net/11661	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
7	7	332698			Lumi i Bunes-Velipoje	Lumi i Bunes-Velipoje	Protected Landscape (Albania)	Peizazh i Mbrojtur	National	MPA with a national statute	Marine Protected Area	Main	V - Protected landscape/seascape	{ALB}	{MAD}		9.47	230.27	230.18	0	4	Designated	2005	Federal or national ministry or agency	National Agency for Protected Areas (NAPA) represented by RAPA Vlore in regional level.	Fully implemented		Not listed	https://www.protectedplanet.net/332698	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
8	8	11663			Patok-Fushekuqe-Ishem	Patok-Fushekuqe-Ishem	Managed Nature Reserve (Albania)	Rezervatit Natyror të Menaxhuar	National	MPA with a national statute	Marine Protected Area	Main	IV - Habitat/species management area	{ALB}	{MAD}		8.04	50.01	49.99	0	16	Designated	2010	Not reported	National Agency for Protected Areas (NAPA) represented by RAPA Vlore in regional level.	Fully implemented		Not listed	https://www.protectedplanet.net/11663	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1354	1354				The Eratosthenes Seamount	The Eratosthenes Seamount	Protection of Vulnerable Marine Ecosystems (VME)	Protection of Vulnerable Marine Ecosystems (VME)	Regional	Fisheries Restricted Area (VME)	OECM (potential)	Main	Not applicable	{CYP,EGY}	{MAL}	10306.0	10306.22	10306.0	10306.25	100	100	Designated	2006	Not reported	Not reported	Not reported		Not listed	http://www.fao.org/gfcm/data/maps/fras	General Fisheries Commission for the Mediterranean (GFCM)	2020-02-07	Data downloaded from the GFCM website in July 2020 (http://www.fao.org/gfcm/data/map-fisheries-restricted-areas/en).
333			CY5000005		AKROTIRIO ASPRO - PETRA ROMIOU	AKROTIRIO ASPRO - PETRA ROMIOU	SPA (Birds Directive) + SAC (Habitats Directive)	SPA (Birds Directive) + SAC (Habitats Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Not reported	Not reported	{CYP}	{MAL}	21.16	20.55	24.89	24.91	85	82	Designated	2005	Not reported	Not reported	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,CY5000005	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
334		555516669	CY4000010		CHERSONISOS AKAMA	CHERSONISOS AKAMA	Proposed Site of Community Importance (Habitats Directive)	Proposed Site of Community Importance (Habitats Directive)	Regional	Marine Natura 2000 proposed site	Site of conservation interest	Not reported	Not reported	{CYP}	{MAL}	78.82	77.97	179.14	179.27	44	43	Proposed	2010	Federal or national ministry or agency	Department of Fisheries and Marine Research (only for the marine part) / Department of Environment (for the whole area)	Fully implemented	http://www.moa.gov.cy/moa/environment/environmentnew.nsf/All/523C67F6DE748DDCC22580840032C35A?OpenDocument	Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,CY4000010	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
