"site","region","longitude","latitude","start_year","initialized"
"Porquerolles Sarranier_(Port-Cros)","Provence","6.2601","42.9975",NULL,"0"
"Tabarca","Levante_iberian","-0.4654","38.1637",NULL,"0"
"Tombant de Bailly","Provence","6.5661","43.1772",NULL,"0"
"Ceuta_(Ciclón de fuera)","Gibraltar Strait","-5.3161","35.9023",NULL,"0"
"Tombant de Bailly","Provence","6.5661","43.1772",NULL,"0"
"Tindari (Lago Verde)","S-Tyrrhenian","15.0482","38.1436",NULL,"0"
"Ganzirri (lagoon)","S-Tyrrhenian","15.6122","38.2595",NULL,"0"
"Marsala_(Stagnone)","Sicilia","12.4787","37.8650",NULL,"0"
"Tindari (Lago Verde)","Sicilia","15.0482","38.1436",NULL,"0"
"Ganzirri (lagoon)","Sicilia","15.6145","38.2601",NULL,"0"
"Capo Figari","Sardinia","9.6649","40.9961",NULL,"0"
"Capo Peloro","S-Tyrrhenian","15.6432","38.2638",NULL,"0"
"Gallico (RC)","S-Tyrrhenian","15.6438","38.1655",NULL,"0"
"San Vito Lo Capo","S-Tyrrhenian","12.7705","38.1678",NULL,"0"
"Scilla Montagna","S-Tyrrhenian","15.7115","38.2559",NULL,"0"
"Baie de Fréjus","Provence","6.7633","43.4067",NULL,"0"
"Isola dell'Asinara MPA","Sardinia","8.3661","41.058",NULL,"0"
"Isole di Ventotene e Santo Stefano MPA","N-Tyrrhenian","13.4587","40.7900",NULL,"0"
"Torre Guaceto MPA","S-Adriatic","17.7951","40.7196",NULL,"0"
"Capo Figari","Sardinia","9.6649","40.9955",NULL,"0"
"Entella","Sardinia","9.4036","39.1384",NULL,"0"
"Giglio Island_(Cala Cupa)","N-Tyrrhenian","10.9200","42.3666",NULL,"0"
"joan proba","S-Alboran","1.3745","40.9692",NULL,"0"
"Estartit_demo","N-Catalan","3.2085","42.0403",NULL,"0"
"medes_demo","N-Catalan","3.2203","42.0458",NULL,"0"
"annaba (annaba province)","Algerian","7.5601","36.9922",NULL,"0"
"Giannutri(Punta San Francesco)","N-Tyrrhenian","11.1182","42.2523",NULL,"0"
"Isola Gallinara","Ligurian","8.2299","44.0246",NULL,"0"
"La Croce, Santo Stefano","Ligurian","7.8998","43.8291",NULL,"0"
"Porquerolles (Petit Sarranier)","Provence","6.2598","42.9971",NULL,"0"
"mase_konyol","test_nat","5.2848","28.2836",NULL,"0"
"Bozburun","S-Aegean","28.1513","36.8563",NULL,"0"
"Bozburun","S-Aegean","28.1513","36.8563",NULL,"0"
"Ibiza_(Ses-Bledes),","Balearic","-0.3735","38.2765",NULL,"0"
"Ancona_(Passetto)","Central Adriatic","13.5357","43.6173",NULL,"0"
"Torre Guaceto MPA","N-Tyrrhenian","17.8011","40.7303",NULL,"0"
"Miramare MPA","N-Adriatic","13.7085","45.7014",NULL,"0"
"Cinque Terre MPA","N-Tyrrhenian","9.6980","44.1154",NULL,"0"
"Capo Milazzo MPA","S-Tyrrhenian","15.2282","38.2853",NULL,"0"
"Isole Tremiti MPA","S-Adriatic","15.6059","42.1763",NULL,"0"
"Asinara MPA","N-Tyrrhenian","8.3316","41.1432",NULL,"0"
"Tavolara MPA","N-Tyrrhenian","9.7570","40.8592",NULL,"0"
"Isole di Ventotene e S. Stefano MPA","S-Tyrrhenian","13.4333","40.7917",NULL,"0"
"France (Marseille)","Provence","5.3858","43.1875",NULL,"0"
"Gocek Tersane Island","S-Aegean","28.9327","36.6690",NULL,"0"
"test_catalan_Marc","S-Catalan","2.9345","41.5638",NULL,"0"
"Kefalonia_(The Cliff)","E-Ionian","20.5623","38.4758",NULL,"0"
"MARTINHAL_SAGRES_SWPORTUGAL","test_nat","-8.9154","37.015",NULL,"0"
"MARTINHAL_SAGRES_SWPORTUGAL","Gibraltar Strait","-8.9154","37.0150",NULL,"0"
"Asinara","Sardinia","8.3240","41.1149",NULL,"0"
"Asinara","Sardinia","8.3387","41.1104",NULL,"0"
"Boka Kotorska Bay_(Dražin vrt)","S-Adriatic","18.7151","42.4829",NULL,"0"
"Boka Kotorska Bay_(Sopot)","S-Adriatic","18.6803","42.5098",NULL,"0"
"ibiza_Ses-Bledes","Balearic","1.2243","38.9213",NULL,"0"
"Asinara","Sardinia","8.3416","41.1078",NULL,"0"
"Asinara","Sardinia","8.3432","41.1089",NULL,"0"
"Stalida Diving Parlk","Crete","25.4277","35.3097",NULL,"0"
"AMP Cinque Terre","Ligurian","9.6366","44.1330",NULL,"0"
"Calpe (Alicante)","Levante_iberian","0.0708","38.6347",NULL,"0"
"Calpe (Alicante)","Levante_iberian","0.0708","38.6347",NULL,"0"
"Campello","Levante_iberian","0.5834","38.5543",NULL,"0"
"TABARCA","Levante_iberian","-0.4694","38.1604",NULL,"0"
"PUNTA PRIMA","Levante_iberian","-0.7061","37.9393",NULL,"0"
"Campello_(Barranc d'Aigües)","Levante_iberian","-0.3410","38.4550",NULL,"0"
"Denia_(Cabo de San Antonio)","Levante_iberian","0.1851","38.8115",NULL,"0"
