"id","site","longitude","latitude","start_year","initialized"
"1","Columbretes_(Illa-Grossa)","0.671092","39.891698","2007","1"
"2","Menorca-N_(Illa-dels-Porros)","4.077386","40.095033","2004","1"
"3","Mallorca-S_(Cabrera-Imperial)","2.960339","39.123721","2007","1"
"4","Ibiza_(Ses-Bledes)","1.165637","38.969560","2011","1"
"5","Cape-Creus-S_(El-Gat)","3.261413","42.236976","2007","1"
"6","Medes_(Pota-del-Llop)","3.225400","42.049700","2002","1"
"7","Cape-Creus-N_(Portalo)","3.286557","42.333460","2007","1"
"8","Banyuls_(Park-buoy)","3.170248","42.468100","2006","1"
"9","Cape-Couronne","5.055242","43.323166","1999","1"
"10","Mejean","5.224467","43.328350","2010","1"
"11","Agde","3.538071","43.252280","2010","1"
"12","Carry-le-Rouet","5.162000","43.322600","1997","1"
"13","Marseille_(Riou-S)","5.389873","43.171963","1999","1"
"14","Port Cros_(NW, chanel-buoy)","6.377994","43.016405","1999","1"
"15","Cape-Morgiou","5.451883","43.201060","2010","1"
"16","Cassis_(Cassidaigne)","5.545700","43.145666","2010","1"
"17","Marseille_(Planier-Veyron)","5.252500","43.207467","2010","1"
"18","Marseille_(Planier-Souquet)","5.234667","43.199467","2010","1"
"19","Scandola_(Palazzu-S)","8.546350","42.380200","2004","1"
"20","Bonifacio-W_(Park-buoy)","9.135278","41.385278","2003","1"
"21","Tabarca","-0.431749","38.161318","2017","1"
"34","Otranto_(Punta Palacia)","18.520887","40.107505","2011","1"
"26","Cutin","14.493333","44.724722","2009","1"
"23","Lavezzi","9.238611","41.33333","2009","1"
"24","Moines","8.900833","41.443611","2008","1"
"25","Toro","9.392167","41.506861","2008","1"
"27","Kornati_(Mali Obrucan)","15.220000","43.836389","2009","1"
"28","Lesvos Island_(Palios Reef)","26.427867","39.332276","2012","1"
"29","Cabo_de_Palos_(Islas_Hormigas)"," -0.647667"," 37.655194","0","1"
"30","ZEPA_Isla_Grosa"," -0.710528"," 37.730056","0","1"
"31","Mar_Menor_(Laguna)"," -0.782944"," 37.815500","0","1"
"32","Mar_Menor_(Canal)"," -0.720944"," 37.739639","0","1"
"35","Mallorca_S_(Sa_Foradada)","2.978533","39.205150","2013","1"
"37","Zembra","10.80","37.14","2013","1"
"38","Toulon_(Cap Sicié)","5.8436","43.043217","2014","1"
"39","Ceuta_(Ciclón de fuera)","-5.298333","35.905278","2014","1"
"40","MAGOBS","3.873167","43.50022","2011","1"
"41","W_Turkey_(Gökçeada)","25.923611","40.24","0","1"
"42","SW_Turkey_(Bodrum)","27.492778","36.9675","0","1"
"43","Menorca_(Illa_de_l'aire)","4.288333","39.799722","2014","1"
"44","Menorca_(Illa_Porros_2)","4.0775","40.088611","2014","1"
"45","SW Turkey_(Gökova Boncuk)"," 28.197133","36.98360","2014","1"
"46","S Turkey_(Kas Kovanli island)","29.62139","36.15194","2014","1"
"47","SW_Turkey_(Gökova Koremen)","28.124","36.939","2015","1"
"48","Portofino","9.165838","44.313724","2015","1"
"49","Brijuni-Kamik","13.760091"," 44.893658","2015","1"
"52","Marseille_Figuier","5.44617","43.2055","2020","1"
"80","Lampedusa","12.62798","35.52058","2017","1"
"79","Cap Corse_(Giraglia)","9.4065","43.0281","2018","1"
"87","Pinna nobilis_Sardinaux","6.6754","43.306","2018","1"
"88","Macinaggio","9.4926","42.9864","2013","1"
"83","Cap Lardier_(Port-Cros)","6.6166","43.15","2019","1"
"82","Vis_(Plocica)","16.26036111","43.06606667","2015","1"
"81","Vis_(Volici)","16.1934944444444","43.0856888888888","2015","1"
"84","Giens Salis_Port-Cros","6.0963","43.0274","0","1"
"85","Porquerolles Sarranier_(Port-Cros)","6.2601","42.9975",NULL,"0"
"86","Giens Fourmigue_(Port-Cros)","6.0688","43.0394","0","1"
"89","Sagro","9.4949","42.7950","2013","1"
"90","NP Mljet","17.3881","42.7558","2010","1"
"91","NP Kornati - Mana","15.2623","43.8000","2012","1"
"92","PP Telašćica, Veli Garmenjak","15.1810","43.8657","2010","1"
"93","Ischia_(SanPancrazio)","13.9557","40.7017","2012","1"
"94","Toga","9.4585","42.7129","2013","1"
"95","Arinella","9.4582","42.6672","2013","1"
"96","Favone","9.4115","41.7249","2013","1"
"97","Chiappa","9.3732","41.5899","2013","1"
"98","Cerbicales","9.3668","41.5393","2013","1"
"99","Santamanza","9.2475","41.4346","2013","1"
"100","LavezziRSP","9.2665","41.3342","2013","1"
"101","LavezziGECT","9.2522","41.3262","2013","1"
"102","SpargiettoGECT","9.3212","41.2454","2013","1"
"103","Bonifacio","9.1984","41.3606","2013","1"
"104","Figari","9.0491","41.4517","2013","1"
"105","Portopolo","8.7678","41.7344","2013","1"
"106","Sagone","8.6779","42.0971","2013","1"
"107","Porto","8.6598","42.2627","2013","1"
"108","Calvi","8.7285","42.5805","2013","1"
"109","Ilerousse","8.9425","42.6471","2013","1"
"110","Canari","9.3356","42.7874","2013","1"
"112","StaresoABC","8.7267","42.5806","2008","1"
"114","Portofino_Tonnarella","9.1460","44.3301","2018","1"
"115","Bravone","9.5802","42.1325","2017","1"
"116","Taverna","9.5426","42.3400","2018","1"
"117","Alcyone","9.5762","42.3054","2017","1"
"125","Kerkennah-S_2m","11.006150","34.570033","2014","1"
"124","Kerkennah-S_22m"," 11.117117"," 34.517283","2008","1"
"123","Villefranche_(Causiniere)","7.3317","43.6746","2019","1"
"128","Tabarca","-0.4654","38.1637",NULL,"0"
"142","Shikmona","34.9541","32.8246","0","1"
"141","Achziv","35.1038","33.0637","0","1"
"130","Tombant de Bailly","6.5661","43.1772",NULL,"0"
"131","Ceuta_(Ciclón de fuera)","-5.3161","35.9023",NULL,"0"
"132","Tombant de Bailly","6.5661","43.1772",NULL,"0"
"137","Mare Caldo - Greenpeace/DISTAV","10.1264","42.8064","2020","1"
"134","Fethiye Bay Balaban Island","29.0309","36.5569","2020","1"
"138","Capo Carbonara MPA","9.5248","39.0955","2020","1"
"140","Plemmirio MPA","15.3359","37.0011","2020","1"
"143","Habonim","34.9197","32.6301","0","1"
"144","Palmachim","34.6981","31.9302","0","1"
"145","Tindari (Lago Verde)","15.0482","38.1436",NULL,"0"
"146","Ganzirri (lagoon)","15.6122","38.2595",NULL,"0"
"147","Cap Corse_(Canelle)","9.3086","42.8352","2020","1"
"150","Ullastres","3.2003","41.8880","2021","1"
"151","Isola del Giglio_(Punta Gabbianara)","10.9207","42.3648","2019","1"
"156","Sv_Marko_Brijuni National Park","13.7218","44.9438","2021","1"
"153","Marsala_(Stagnone)","12.4787","37.8650",NULL,"0"
"154","Tindari (Lago Verde)","15.0482","38.1436",NULL,"0"
"155","Ganzirri (lagoon)","15.6145","38.2601",NULL,"0"
"157","Grunj_Brijuni National Park","13.7179","44.9144","2021","1"
"158","Capo Figari","9.6649","40.9961",NULL,"0"
"159","Banco di Santa Croce","14.4197","40.6726","2021","1"
"160","Formica di Porticello","13.5674","38.0917","2021","1"
"161","Capo Spartivento","15.2708","40.0223","2021","1"
"162","Capo Peloro","15.6432","38.2638",NULL,"0"
"163","Gallico (RC)","15.6438","38.1655",NULL,"0"
"164","San Vito Lo Capo","12.7705","38.1678",NULL,"0"
"165","Costacuti (Anzio)","12.6131","41.3672","2021","1"
"166","Santa Teresa di Gallura","9.2031","41.2567","2021","1"
"169","Scilla Montagna","15.7115","38.2559",NULL,"0"
"170","Genn'Emari (Gulf of Cagliari)","9.4036","39.1385","2021","1"
"171","Mortoriotto","9.6200","41.0865","2021","1"
"172","Baie de Fréjus","6.7633","43.4067",NULL,"0"
"173","Isola dell'Asinara MPA","8.3661","41.058",NULL,"0"
"174","Isole di Ventotene e Santo Stefano MPA","13.4587","40.7900",NULL,"0"
"175","Torre Guaceto MPA","17.7951","40.7196",NULL,"0"
"176","Capo Figari","9.6649","40.9955",NULL,"0"
"177","Entella","9.4036","39.1384",NULL,"0"
"178","Giglio Island_(Cala Cupa)","10.9200","42.3666",NULL,"0"
"179","test","5.3","43.2698","0","1"
"180","joan proba","1.3745","40.9692",NULL,"0"
"181","Estartit_demo","3.2085","42.0403",NULL,"0"
"182","medes_demo","3.2203","42.0458",NULL,"0"
"184","Cap Corse_(Sagro)","9.4894","42.7877","2021","1"
"186","annaba (annaba province)","7.5601","36.9922",NULL,"0"
"187","Isola di Bergeggi","8.4444","44.2333","2021","1"
"188","Elba(Picchi di Pablo)","10.4349","42.7268","2021","1"
"189","Giannutri(Punta San Francesco)","11.1182","42.2523",NULL,"0"
"190","Isola Gallinara","8.2299","44.0246",NULL,"0"
"191","La Croce, Santo Stefano","7.8998","43.8291",NULL,"0"
"192","Porquerolles (Petit Sarranier)","6.2598","42.9971",NULL,"0"
"193","mase_konyol","5.2848","28.2836",NULL,"0"
"194","Omis_(Mala luka)","16.7176","43.4149","2022","1"
"195","Bozburun","28.1513","36.8563",NULL,"0"
"196","Bozburun","28.1513","36.8563",NULL,"0"
"197","Ibiza_(Ses-Bledes),","-0.3735","38.2765",NULL,"0"
"204","Ancona_(Passetto)","13.5357","43.6173",NULL,"0"
"205","Capo Caccia_(Il Nereo)","8.1612","40.5610","2024","1"
"206","Torre Guaceto MPA","17.8011","40.7303",NULL,"0"
"207","Miramare MPA","13.7085","45.7014",NULL,"0"
"208","Cinque Terre MPA","9.6980","44.1154",NULL,"0"
"209","Capo Milazzo MPA","15.2282","38.2853",NULL,"0"
"210","Isole Tremiti MPA","15.6059","42.1763",NULL,"0"
"211","Asinara MPA","8.3316","41.1432",NULL,"0"
"212","Tavolara MPA","9.7570","40.8592",NULL,"0"
"213","Isole di Ventotene e S. Stefano MPA","13.4333","40.7917",NULL,"0"
"216","France (Marseille)","5.3858","43.1875",NULL,"0"
"217","Gocek Tersane Island","28.9327","36.6690",NULL,"0"
"218","test_catalan_Marc","2.9345","41.5638",NULL,"0"
"219","Kefalonia_(The Cliff)","20.5623","38.4758",NULL,"0"
"220","MARTINHAL_SAGRES_SWPORTUGAL","-8.9154","37.015",NULL,"0"
"221","MARTINHAL_SAGRES_SWPORTUGAL","-8.9154","37.0150",NULL,"0"
"222","Asinara","8.3240","41.1149",NULL,"0"
"223","Asinara","8.3387","41.1104",NULL,"0"
"226","ibiza_Ses-Bledes","1.2243","38.9213",NULL,"0"
"227","Asinara","8.3416","41.1078",NULL,"0"
"228","Asinara","8.3432","41.1089",NULL,"0"
"229","Stalida Diving Parlk","25.4277","35.3097",NULL,"0"
"230","AMP Cinque Terre","9.6366","44.1330",NULL,"0"
"231","Calpe (Alicante)","0.0708","38.6347",NULL,"0"
"232","Calpe (Alicante)","0.0708","38.6347",NULL,"0"
"233","Campello","0.5834","38.5543",NULL,"0"
