Date	Time	5	10	15	20	25	30	35	40
18/07/2002	11:00:00		19.92			19.37		19.14	
18/07/2002	12:00:00		20.0			19.21		19.06	
18/07/2002	13:00:00		20.04			19.28		19.1	
18/07/2002	14:00:00		20.04			19.6		19.26	
18/07/2002	15:00:00		20.04			19.77		19.3	
18/07/2002	16:00:00		20.04			19.77		19.22	
18/07/2002	17:00:00		20.04			19.77		19.1	
18/07/2002	18:00:00		20.04			19.77		18.94	
18/07/2002	19:00:00		20.04			19.77		18.86	
18/07/2002	20:00:00		20.04			19.77		18.86	
18/07/2002	21:00:00		20.04			19.69		18.82	
18/07/2002	22:00:00		20.04			19.53		18.73	
18/07/2002	23:00:00		20.04			19.41		18.73	
19/07/2002	0:00:00		20.04			19.33		18.82	
19/07/2002	1:00:00		20.04			19.29		18.86	
19/07/2002	2:00:00		20.04			19.29		18.86	
19/07/2002	3:00:00		20.04			19.33		18.86	
19/07/2002	4:00:00		20.04			19.41		18.86	
19/07/2002	5:00:00		20.04			19.3		18.86	
19/07/2002	6:00:00		20.04			18.98		18.86	
19/07/2002	7:00:00		20.04			19.0		18.86	
19/07/2002	8:00:00		20.04			19.4		18.86	
19/07/2002	9:00:00		20.08			19.57		18.86	
19/07/2002	10:00:00		20.16			19.49		18.86	
19/07/2002	11:00:00		20.2			19.37		18.82	
19/07/2002	12:00:00		20.2			19.21		18.73	
19/07/2002	13:00:00		20.2			19.09		18.69	
19/07/2002	14:00:00		20.2			19.01		18.69	
19/07/2002	15:00:00		20.24			19.12		18.73	
19/07/2002	16:00:00		20.32			19.44		18.82	
19/07/2002	17:00:00		20.32			19.46		18.86	
19/07/2002	18:00:00		20.24			19.14		18.86	
19/07/2002	19:00:00		20.2			18.93		18.78	
19/07/2002	20:00:00		20.2			18.85		18.62	
19/07/2002	21:00:00		20.24			18.81		18.57	
19/07/2002	22:00:00		20.32			18.81		18.65	
19/07/2002	23:00:00		20.36			18.85		18.61	
20/07/2002	0:00:00		20.36			18.93		18.45	
20/07/2002	1:00:00		20.24			18.93		18.37	
20/07/2002	2:00:00		20.0			18.85		18.37	
20/07/2002	3:00:00		19.84			18.89		18.45	
20/07/2002	4:00:00		19.76			19.05		18.61	
20/07/2002	5:00:00		19.84			19.05		18.54	
20/07/2002	6:00:00		20.08			18.89		18.22	
20/07/2002	7:00:00		20.12			18.93		18.2	
20/07/2002	8:00:00		19.96			19.17		18.52	
20/07/2002	9:00:00		19.88			19.25		18.65	
20/07/2002	10:00:00		19.88			19.17		18.57	
20/07/2002	11:00:00		19.92			19.13		18.49	
20/07/2002	12:00:00		20.0			19.13		18.41	
20/07/2002	13:00:00		20.08			19.09		18.37	
20/07/2002	14:00:00		20.16			19.01		18.37	
20/07/2002	15:00:00		20.2			18.97		18.45	
20/07/2002	16:00:00		20.2			18.97		18.61	
20/07/2002	17:00:00		20.16			18.93		18.65	
20/07/2002	18:00:00		20.08			18.85		18.57	
20/07/2002	19:00:00		20.16			18.81		18.45	
20/07/2002	20:00:00		20.4			18.81		18.29	
20/07/2002	21:00:00		20.29			18.81		18.25	
20/07/2002	22:00:00		19.81			18.81		18.33	
20/07/2002	23:00:00		19.56			18.81		18.45	
21/07/2002	0:00:00		19.56			18.81		18.61	
21/07/2002	1:00:00		19.48			18.81		18.65	
21/07/2002	2:00:00		19.32			18.81		18.57	
21/07/2002	3:00:00		19.23			18.81		18.34	
21/07/2002	4:00:00		19.23			18.81		17.94	
21/07/2002	5:00:00		19.23			18.85		17.92	
21/07/2002	6:00:00		19.23			18.93		18.32	
21/07/2002	7:00:00		19.31			19.01		18.49	
21/07/2002	8:00:00		19.47			19.09		18.41	
21/07/2002	9:00:00		19.68			19.17		18.49	
21/07/2002	10:00:00		19.92			19.25		18.73	
21/07/2002	11:00:00		20.0			19.29		18.82	
21/07/2002	12:00:00		19.92			19.29		18.73	
21/07/2002	13:00:00		19.96			19.29		18.61	
21/07/2002	14:00:00		20.12			19.29		18.45	
21/07/2002	15:00:00		20.16			19.29		18.22	
21/07/2002	16:00:00		20.08			19.29		17.9	
21/07/2002	17:00:00		20.0			19.29		17.19	
21/07/2002	18:00:00		19.92			19.29		16.08	
21/07/2002	19:00:00		19.84			19.21		16.08	
21/07/2002	20:00:00		19.76			19.05		17.27	
21/07/2002	21:00:00		19.8			19.01		17.74	
21/07/2002	22:00:00		19.96			19.09		17.42	
21/07/2002	23:00:00		20.16			19.17		17.48	
22/07/2002	0:00:00		20.4			19.25		17.96	
22/07/2002	1:00:00		20.44			19.25		18.25	
22/07/2002	2:00:00		20.28			19.17		18.33	
22/07/2002	3:00:00		20.16			19.13		18.41	
22/07/2002	4:00:00		20.08			19.13		18.49	
22/07/2002	5:00:00		20.0			19.13		18.53	
22/07/2002	6:00:00		19.92			19.13		18.53	
22/07/2002	7:00:00		19.92			19.13		18.61	
22/07/2002	8:00:00		20.0			19.13		18.77	
22/07/2002	9:00:00		20.08			19.13		18.78	
22/07/2002	10:00:00		20.16			19.13		18.62	
22/07/2002	11:00:00		20.24			19.13		18.45	
22/07/2002	12:00:00		20.32			19.13		18.29	
22/07/2002	13:00:00		20.4			19.17		18.29	
22/07/2002	14:00:00		20.48			19.25		18.45	
22/07/2002	15:00:00		20.52			19.37		18.65	
22/07/2002	16:00:00		20.52			19.53		18.89	
22/07/2002	17:00:00		20.4			19.53		18.86	
22/07/2002	18:00:00		20.16			19.37		18.54	
22/07/2002	19:00:00		20.04			19.33		18.45	
22/07/2002	20:00:00		20.04			19.41		18.61	
22/07/2002	21:00:00		20.12			19.45		18.65	
22/07/2002	22:00:00		20.28			19.45		18.57	
22/07/2002	23:00:00		20.4			19.49		18.61	
23/07/2002	0:00:00		20.48			19.57		18.77	
23/07/2002	1:00:00		20.44			19.61		18.82	
23/07/2002	2:00:00		20.28			19.61		18.73	
23/07/2002	3:00:00		20.16			19.57		18.69	
23/07/2002	4:00:00		20.08			19.49		18.69	
23/07/2002	5:00:00		19.96			19.45		18.3	
23/07/2002	6:00:00		19.8			19.45		17.5	
23/07/2002	7:00:00		19.8			19.41		16.94	
23/07/2002	8:00:00		19.96			19.33		16.62	
23/07/2002	9:00:00		20.16			19.29		16.49	
23/07/2002	10:00:00		20.4			19.29		16.57	
23/07/2002	11:00:00		20.56			19.29		16.84	
23/07/2002	12:00:00		20.65			19.29		17.32	
23/07/2002	13:00:00		20.65			19.33		17.49	
23/07/2002	14:00:00		20.56			19.41		17.33	
23/07/2002	15:00:00		20.6			19.25		17.13	
23/07/2002	16:00:00		20.76			18.85		16.89	
23/07/2002	17:00:00		20.81			18.8		16.65	
23/07/2002	18:00:00		20.73			19.12		16.41	
23/07/2002	19:00:00		20.65			19.41		16.21	
23/07/2002	20:00:00		20.56			19.65		16.05	
23/07/2002	21:00:00		20.52			19.69		15.9	
23/07/2002	22:00:00		20.52			19.53		15.74	
23/07/2002	23:00:00		20.48			19.02		16.01	
24/07/2002	0:00:00		20.4			18.13		16.73	
24/07/2002	1:00:00		20.48			18.36		17.01	
24/07/2002	2:00:00		20.73			19.73		16.85	
24/07/2002	3:00:00		20.97			20.62		16.69	
24/07/2002	4:00:00		21.22			21.03		16.53	
24/07/2002	5:00:00		21.34			20.94		16.65	
24/07/2002	6:00:00		21.34			20.38		17.05	
24/07/2002	7:00:00		21.34			19.85		17.17	
