"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 22089576, SEN S/N: 22089576, LBL: foradada_10m)"	"Acoplador separado (LGR S/N: 22089576, SEN S/N: 22089576)"	"Acoplador adjunto (LGR S/N: 22089576, SEN S/N: 22089576)"	"Host conectado (LGR S/N: 22089576, SEN S/N: 22089576)"	"Parado (LGR S/N: 22089576, SEN S/N: 22089576)"	"Final de archivo (LGR S/N: 22089576, SEN S/N: 22089576)"
1	06/06/25	12:00:00	21.676	Registrado				
2	06/06/25	13:00:00	21.772					
3	06/06/25	14:00:00	21.652					
4	06/06/25	15:00:00	22.058					
5	06/06/25	16:00:00	22.034					
6	06/06/25	17:00:00	22.633					
7	06/06/25	18:00:00	21.891					
8	06/06/25	19:00:00	22.106					
9	06/06/25	20:00:00	22.298					
10	06/06/25	21:00:00	22.321					
11	06/06/25	22:00:00	22.417					
12	06/06/25	23:00:00	22.705					
13	07/06/25	00:00:00	22.753					
14	07/06/25	01:00:00	22.393					
15	07/06/25	02:00:00	22.417					
16	07/06/25	03:00:00	21.891					
17	07/06/25	04:00:00	21.748					
18	07/06/25	05:00:00	21.700					
19	07/06/25	06:00:00	22.011					
20	07/06/25	07:00:00	22.178					
21	07/06/25	08:00:00	21.748					
22	07/06/25	09:00:00	21.676					
23	07/06/25	10:00:00	21.748					
24	07/06/25	11:00:00	21.843					
25	07/06/25	12:00:00	21.557					
26	07/06/25	13:00:00	21.533					
27	07/06/25	14:00:00	21.795					
28	07/06/25	15:00:00	21.963					
29	07/06/25	16:00:00	22.417					
30	07/06/25	17:00:00	23.545					
31	07/06/25	18:00:00	23.665					
32	07/06/25	19:00:00	23.088					
33	07/06/25	20:00:00	22.633					
34	07/06/25	21:00:00	22.824					
35	07/06/25	22:00:00	22.968					
36	07/06/25	23:00:00	22.609					
37	08/06/25	00:00:00	22.465					
38	08/06/25	01:00:00	22.178					
39	08/06/25	02:00:00	22.106					
40	08/06/25	03:00:00	22.106					
41	08/06/25	04:00:00	21.987					
42	08/06/25	05:00:00	22.011					
43	08/06/25	06:00:00	21.748					
44	08/06/25	07:00:00	21.843					
45	08/06/25	08:00:00	21.843					
46	08/06/25	09:00:00	21.772					
47	08/06/25	10:00:00	21.891					
48	08/06/25	11:00:00	22.011					
49	08/06/25	12:00:00	21.772					
50	08/06/25	13:00:00	21.772					
51	08/06/25	14:00:00	22.369					
52	08/06/25	15:00:00	22.106					
53	08/06/25	16:00:00	21.748					
54	08/06/25	17:00:00	21.724					
55	08/06/25	18:00:00	21.867					
56	08/06/25	19:00:00	21.652					
57	08/06/25	20:00:00	21.461					
58	08/06/25	21:00:00	21.509					
59	08/06/25	22:00:00	21.175					
60	08/06/25	23:00:00	21.127					
61	09/06/25	00:00:00	21.509					
62	09/06/25	01:00:00	21.819					
63	09/06/25	02:00:00	21.676					
64	09/06/25	03:00:00	21.008					
65	09/06/25	04:00:00	22.465					
66	09/06/25	05:00:00	22.561					
67	09/06/25	06:00:00	22.657					
68	09/06/25	07:00:00	22.800					
69	09/06/25	08:00:00	22.753					
70	09/06/25	09:00:00	22.705					
71	09/06/25	10:00:00	22.489					
72	09/06/25	11:00:00	22.657					
73	09/06/25	12:00:00	22.561					
74	09/06/25	13:00:00	22.681					
75	09/06/25	14:00:00	22.609					
76	09/06/25	15:00:00	20.555					
77	09/06/25	16:00:00	22.633					
78	09/06/25	17:00:00	22.082					
79	09/06/25	18:00:00	22.729					
80	09/06/25	19:00:00	22.705					
81	09/06/25	20:00:00	22.633					
82	09/06/25	21:00:00	22.321					
83	09/06/25	22:00:00	22.441					
84	09/06/25	23:00:00	22.776					
85	10/06/25	00:00:00	22.920					
86	10/06/25	01:00:00	22.944					
87	10/06/25	02:00:00	23.112					
88	10/06/25	03:00:00	23.088					
89	10/06/25	04:00:00	23.064					
90	10/06/25	05:00:00	23.160					
91	10/06/25	06:00:00	23.088					
92	10/06/25	07:00:00	23.064					
93	10/06/25	08:00:00	23.064					
94	10/06/25	09:00:00	23.088					
95	10/06/25	10:00:00	23.016					
96	10/06/25	11:00:00	22.537					
97	10/06/25	12:00:00	22.489					
98	10/06/25	13:00:00	22.633					
99	10/06/25	14:00:00	22.944					
100	10/06/25	15:00:00	23.112					
101	10/06/25	16:00:00	23.064					
102	10/06/25	17:00:00	23.112					
103	10/06/25	18:00:00	23.184					
104	10/06/25	19:00:00	23.280					
105	10/06/25	20:00:00	23.040					
106	10/06/25	21:00:00	23.040					
107	10/06/25	22:00:00	22.968					
108	10/06/25	23:00:00	22.848					
109	11/06/25	00:00:00	22.657					
110	11/06/25	01:00:00	22.393					
111	11/06/25	02:00:00	22.202					
112	11/06/25	03:00:00	23.112					
113	11/06/25	04:00:00	23.016					
114	11/06/25	05:00:00	21.939					
115	11/06/25	06:00:00	22.513					
116	11/06/25	07:00:00	23.040					
117	11/06/25	08:00:00	23.136					
118	11/06/25	09:00:00	23.112					
119	11/06/25	10:00:00	23.136					
120	11/06/25	11:00:00	22.992					
121	11/06/25	12:00:00	23.232					
122	11/06/25	13:00:00	22.992					
123	11/06/25	14:00:00	22.920					
124	11/06/25	15:00:00	23.256					
125	11/06/25	16:00:00	22.729					
126	11/06/25	17:00:00	22.106					
127	11/06/25	18:00:00	22.345					
128	11/06/25	19:00:00	23.088					
129	11/06/25	20:00:00	23.112					
130	11/06/25	21:00:00	23.016					
131	11/06/25	22:00:00	22.729					
132	11/06/25	23:00:00	22.633					
133	12/06/25	00:00:00	22.393					
134	12/06/25	01:00:00	22.441					
135	12/06/25	02:00:00	22.465					
136	12/06/25	03:00:00	22.992					
137	12/06/25	04:00:00	23.280					
138	12/06/25	05:00:00	22.992					
139	12/06/25	06:00:00	23.112					
140	12/06/25	07:00:00	22.848					
141	12/06/25	08:00:00	22.800					
142	12/06/25	09:00:00	23.136					
143	12/06/25	10:00:00	23.376					
144	12/06/25	11:00:00	23.016					
145	12/06/25	12:00:00	22.872					
146	12/06/25	13:00:00	22.944					
147	12/06/25	14:00:00	23.280					
148	12/06/25	15:00:00	23.569					
149	12/06/25	16:00:00	23.665					
150	12/06/25	17:00:00	23.761					
151	12/06/25	18:00:00	23.424					
152	12/06/25	19:00:00	23.448					
153	12/06/25	20:00:00	23.785					
154	12/06/25	21:00:00	23.424					
155	12/06/25	22:00:00	23.424					
156	12/06/25	23:00:00	23.737					
157	13/06/25	00:00:00	23.785					
158	13/06/25	01:00:00	23.833					
159	13/06/25	02:00:00	23.761					
160	13/06/25	03:00:00	23.689					
161	13/06/25	04:00:00	23.905					
162	13/06/25	05:00:00	23.761					
163	13/06/25	06:00:00	23.593					
164	13/06/25	07:00:00	23.569					
165	13/06/25	08:00:00	23.328					
166	13/06/25	09:00:00	23.304					
167	13/06/25	10:00:00	22.657					
168	13/06/25	11:00:00	23.400					
169	13/06/25	12:00:00	23.280					
170	13/06/25	13:00:00	22.920					
171	13/06/25	14:00:00	23.112					
172	13/06/25	15:00:00	23.978					
173	13/06/25	16:00:00	24.146					
174	13/06/25	17:00:00	24.195					
175	13/06/25	18:00:00	23.569					
176	13/06/25	19:00:00	23.328					
177	13/06/25	20:00:00	23.545					
178	13/06/25	21:00:00	23.160					
179	13/06/25	22:00:00	23.376					
180	13/06/25	23:00:00	23.280					
181	14/06/25	00:00:00	23.448					
182	14/06/25	01:00:00	23.617					
183	14/06/25	02:00:00	23.689					
184	14/06/25	03:00:00	23.737					
185	14/06/25	04:00:00	23.641					
186	14/06/25	05:00:00	23.641					
187	14/06/25	06:00:00	23.689					
188	14/06/25	07:00:00	23.569					
189	14/06/25	08:00:00	23.424					
190	14/06/25	09:00:00	23.569					
191	14/06/25	10:00:00	23.569					
192	14/06/25	11:00:00	23.857					
193	14/06/25	12:00:00	23.930					
194	14/06/25	13:00:00	24.026					
195	14/06/25	14:00:00	23.617					
196	14/06/25	15:00:00	23.521					
197	14/06/25	16:00:00	22.729					
198	14/06/25	17:00:00	23.208					
199	14/06/25	18:00:00	23.593					
200	14/06/25	19:00:00	23.737					
201	14/06/25	20:00:00	23.905					
202	14/06/25	21:00:00	23.809					
203	14/06/25	22:00:00	23.905					
204	14/06/25	23:00:00	24.122					
205	15/06/25	00:00:00	24.074					
206	15/06/25	01:00:00	24.002					
207	15/06/25	02:00:00	23.761					
208	15/06/25	03:00:00	23.978					
209	15/06/25	04:00:00	23.954					
210	15/06/25	05:00:00	24.002					
211	15/06/25	06:00:00	24.050					
