"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20954379, SEN S/N: 20954379, LBL: Foradada_25m)"	"Acoplador separado (LGR S/N: 20954379, SEN S/N: 20954379)"	"Acoplador adjunto (LGR S/N: 20954379, SEN S/N: 20954379)"	"Host conectado (LGR S/N: 20954379, SEN S/N: 20954379)"	"Parado (LGR S/N: 20954379, SEN S/N: 20954379)"	"Final de archivo (LGR S/N: 20954379, SEN S/N: 20954379)"
1	06/06/25	12:00:00	18.152	Registrado				
2	06/06/25	13:00:00	18.200					
3	06/06/25	14:00:00	18.461					
4	06/06/25	15:00:00	18.438					
5	06/06/25	16:00:00	18.866					
6	06/06/25	17:00:00	19.603					
7	06/06/25	18:00:00	20.222					
8	06/06/25	19:00:00	19.960					
9	06/06/25	20:00:00	20.103					
10	06/06/25	21:00:00	20.150					
11	06/06/25	22:00:00	20.770					
12	06/06/25	23:00:00	20.913					
13	07/06/25	00:00:00	20.531					
14	07/06/25	01:00:00	19.888					
15	07/06/25	02:00:00	20.103					
16	07/06/25	03:00:00	20.388					
17	07/06/25	04:00:00	20.103					
18	07/06/25	05:00:00	19.603					
19	07/06/25	06:00:00	19.770					
20	07/06/25	07:00:00	19.888					
21	07/06/25	08:00:00	20.174					
22	07/06/25	09:00:00	20.150					
23	07/06/25	10:00:00	19.912					
24	07/06/25	11:00:00	20.126					
25	07/06/25	12:00:00	19.841					
26	07/06/25	13:00:00	19.080					
27	07/06/25	14:00:00	19.365					
28	07/06/25	15:00:00	19.460					
29	07/06/25	16:00:00	20.222					
30	07/06/25	17:00:00	20.627					
31	07/06/25	18:00:00	20.627					
32	07/06/25	19:00:00	20.650					
33	07/06/25	20:00:00	20.484					
34	07/06/25	21:00:00	20.484					
35	07/06/25	22:00:00	19.960					
36	07/06/25	23:00:00	20.222					
37	08/06/25	00:00:00	20.103					
38	08/06/25	01:00:00	20.007					
39	08/06/25	02:00:00	20.341					
40	08/06/25	03:00:00	20.246					
41	08/06/25	04:00:00	19.793					
42	08/06/25	05:00:00	19.841					
43	08/06/25	06:00:00	19.912					
44	08/06/25	07:00:00	20.055					
45	08/06/25	08:00:00	20.007					
46	08/06/25	09:00:00	19.960					
47	08/06/25	10:00:00	19.984					
48	08/06/25	11:00:00	19.817					
49	08/06/25	12:00:00	20.126					
50	08/06/25	13:00:00	20.484					
51	08/06/25	14:00:00	20.555					
52	08/06/25	15:00:00	20.222					
53	08/06/25	16:00:00	20.007					
54	08/06/25	17:00:00	19.960					
55	08/06/25	18:00:00	20.317					
56	08/06/25	19:00:00	20.388					
57	08/06/25	20:00:00	20.365					
58	08/06/25	21:00:00	20.341					
59	08/06/25	22:00:00	20.269					
60	08/06/25	23:00:00	20.055					
61	09/06/25	00:00:00	20.031					
62	09/06/25	01:00:00	20.103					
63	09/06/25	02:00:00	19.888					
64	09/06/25	03:00:00	20.103					
65	09/06/25	04:00:00	20.031					
66	09/06/25	05:00:00	20.269					
67	09/06/25	06:00:00	20.150					
68	09/06/25	07:00:00	20.103					
69	09/06/25	08:00:00	20.603					
70	09/06/25	09:00:00	20.960					
71	09/06/25	10:00:00	20.770					
72	09/06/25	11:00:00	20.817					
73	09/06/25	12:00:00	20.412					
74	09/06/25	13:00:00	19.817					
75	09/06/25	14:00:00	19.865					
76	09/06/25	15:00:00	19.960					
77	09/06/25	16:00:00	19.960					
78	09/06/25	17:00:00	20.079					
79	09/06/25	18:00:00	20.103					
80	09/06/25	19:00:00	20.031					
81	09/06/25	20:00:00	19.722					
82	09/06/25	21:00:00	18.961					
83	09/06/25	22:00:00	19.603					
84	09/06/25	23:00:00	20.412					
85	10/06/25	00:00:00	21.008					
86	10/06/25	01:00:00	21.700					
87	10/06/25	02:00:00	21.676					
88	10/06/25	03:00:00	20.246					
89	10/06/25	04:00:00	20.055					
90	10/06/25	05:00:00	19.698					
91	10/06/25	06:00:00	19.865					
92	10/06/25	07:00:00	19.674					
93	10/06/25	08:00:00	20.126					
94	10/06/25	09:00:00	20.007					
95	10/06/25	10:00:00	20.007					
96	10/06/25	11:00:00	19.722					
97	10/06/25	12:00:00	19.865					
98	10/06/25	13:00:00	19.722					
99	10/06/25	14:00:00	19.555					
100	10/06/25	15:00:00	19.698					
101	10/06/25	16:00:00	19.722					
102	10/06/25	17:00:00	21.772					
103	10/06/25	18:00:00	22.465					
104	10/06/25	19:00:00	22.393					
105	10/06/25	20:00:00	22.944					
106	10/06/25	21:00:00	20.650					
107	10/06/25	22:00:00	20.484					
108	10/06/25	23:00:00	19.793					
109	11/06/25	00:00:00	20.055					
110	11/06/25	01:00:00	20.317					
111	11/06/25	02:00:00	20.293					
112	11/06/25	03:00:00	19.389					
113	11/06/25	04:00:00	19.151					
114	11/06/25	05:00:00	19.651					
115	11/06/25	06:00:00	19.793					
116	11/06/25	07:00:00	20.103					
117	11/06/25	08:00:00	20.269					
118	11/06/25	09:00:00	20.103					
119	11/06/25	10:00:00	20.436					
120	11/06/25	11:00:00	20.388					
121	11/06/25	12:00:00	19.936					
122	11/06/25	13:00:00	19.936					
123	11/06/25	14:00:00	20.484					
124	11/06/25	15:00:00	20.627					
125	11/06/25	16:00:00	20.198					
126	11/06/25	17:00:00	19.603					
127	11/06/25	18:00:00	20.603					
128	11/06/25	19:00:00	20.293					
129	11/06/25	20:00:00	20.746					
130	11/06/25	21:00:00	21.151					
131	11/06/25	22:00:00	20.293					
132	11/06/25	23:00:00	19.270					
133	12/06/25	00:00:00	19.532					
134	12/06/25	01:00:00	19.413					
135	12/06/25	02:00:00	19.294					
136	12/06/25	03:00:00	19.294					
137	12/06/25	04:00:00	19.294					
138	12/06/25	05:00:00	19.579					
139	12/06/25	06:00:00	20.555					
140	12/06/25	07:00:00	20.936					
141	12/06/25	08:00:00	21.223					
142	12/06/25	09:00:00	22.992					
143	12/06/25	10:00:00	20.698					
144	12/06/25	11:00:00	21.246					
145	12/06/25	12:00:00	20.531					
146	12/06/25	13:00:00	20.793					
147	12/06/25	14:00:00	20.579					
148	12/06/25	15:00:00	20.388					
149	12/06/25	16:00:00	18.557					
150	12/06/25	17:00:00	18.509					
151	12/06/25	18:00:00	18.628					
152	12/06/25	19:00:00	18.866					
153	12/06/25	20:00:00	19.912					
154	12/06/25	21:00:00	20.317					
155	12/06/25	22:00:00	20.674					
156	12/06/25	23:00:00	20.531					
157	13/06/25	00:00:00	21.079					
158	13/06/25	01:00:00	22.226					
159	13/06/25	02:00:00	20.722					
160	13/06/25	03:00:00	20.460					
161	13/06/25	04:00:00	21.056					
162	13/06/25	05:00:00	20.627					
163	13/06/25	06:00:00	19.912					
164	13/06/25	07:00:00	20.079					
165	13/06/25	08:00:00	20.388					
166	13/06/25	09:00:00	19.341					
167	13/06/25	10:00:00	19.080					
168	13/06/25	11:00:00	19.056					
169	13/06/25	12:00:00	18.771					
170	13/06/25	13:00:00	19.103					
171	13/06/25	14:00:00	18.675					
172	13/06/25	15:00:00	18.771					
173	13/06/25	16:00:00	18.485					
174	13/06/25	17:00:00	18.509					
175	13/06/25	18:00:00	18.937					
176	13/06/25	19:00:00	18.889					
177	13/06/25	20:00:00	20.627					
178	13/06/25	21:00:00	21.008					
179	13/06/25	22:00:00	21.724					
180	13/06/25	23:00:00	22.082					
181	14/06/25	00:00:00	22.537					
