"Título de trazado: foradada_40m_06062025"
"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 22089580, SEN S/N: 22089580, LBL: foradada_40m)"	"Acoplador separado (LGR S/N: 22089580, SEN S/N: 22089580)"	"Acoplador adjunto (LGR S/N: 22089580, SEN S/N: 22089580)"	"Host conectado (LGR S/N: 22089580, SEN S/N: 22089580)"	"Parado (LGR S/N: 22089580, SEN S/N: 22089580)"	"Final de archivo (LGR S/N: 22089580, SEN S/N: 22089580)"
1	06/06/25	12:00:00	16.582	Registrado				
2	06/06/25	13:00:00	16.487					
3	06/06/25	14:00:00	16.129					
4	06/06/25	15:00:00	16.106					
5	06/06/25	16:00:00	16.296					
6	06/06/25	17:00:00	16.368					
7	06/06/25	18:00:00	16.630					
8	06/06/25	19:00:00	17.153					
9	06/06/25	20:00:00	17.082					
10	06/06/25	21:00:00	17.082					
11	06/06/25	22:00:00	17.558					
12	06/06/25	23:00:00	18.200					
13	07/06/25	00:00:00	17.772					
14	07/06/25	01:00:00	17.201					
15	07/06/25	02:00:00	16.939					
16	07/06/25	03:00:00	16.677					
17	07/06/25	04:00:00	16.844					
18	07/06/25	05:00:00	17.153					
19	07/06/25	06:00:00	17.130					
20	07/06/25	07:00:00	17.082					
21	07/06/25	08:00:00	17.058					
22	07/06/25	09:00:00	18.438					
23	07/06/25	10:00:00	16.987					
24	07/06/25	11:00:00	16.368					
25	07/06/25	12:00:00	16.392					
26	07/06/25	13:00:00	16.225					
27	07/06/25	14:00:00	16.129					
28	07/06/25	15:00:00	16.225					
29	07/06/25	16:00:00	16.344					
30	07/06/25	17:00:00	16.654					
31	07/06/25	18:00:00	16.725					
32	07/06/25	19:00:00	16.654					
33	07/06/25	20:00:00	18.033					
34	07/06/25	21:00:00	18.533					
35	07/06/25	22:00:00	17.677					
36	07/06/25	23:00:00	17.938					
37	08/06/25	00:00:00	17.677					
38	08/06/25	01:00:00	17.534					
39	08/06/25	02:00:00	17.296					
40	08/06/25	03:00:00	16.606					
41	08/06/25	04:00:00	16.249					
42	08/06/25	05:00:00	16.249					
43	08/06/25	06:00:00	16.201					
44	08/06/25	07:00:00	16.344					
45	08/06/25	08:00:00	16.511					
46	08/06/25	09:00:00	16.392					
47	08/06/25	10:00:00	16.892					
48	08/06/25	11:00:00	17.082					
49	08/06/25	12:00:00	16.987					
50	08/06/25	13:00:00	17.272					
51	08/06/25	14:00:00	19.127					
