"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20987433, SEN S/N: 20987433)"	"Acoplador separado (LGR S/N: 20987433, SEN S/N: 20987433)"	"Acoplador adjunto (LGR S/N: 20987433, SEN S/N: 20987433)"	"Host conectado (LGR S/N: 20987433, SEN S/N: 20987433)"	"Parado (LGR S/N: 20987433, SEN S/N: 20987433)"	"Final de archivo (LGR S/N: 20987433, SEN S/N: 20987433)"
1	09/09/25	11:00:00	24.968	Registrado				
2	09/09/25	11:30:00	25.501					
3	09/09/25	12:00:00	17.391					
4	09/09/25	12:30:00	16.106					
5	09/09/25	13:00:00	15.986					
6	09/09/25	13:30:00	15.986					
7	09/09/25	14:00:00	15.963					
8	09/09/25	14:30:00	15.867					
9	09/09/25	15:00:00	15.819					
10	09/09/25	15:30:00	15.986					
11	09/09/25	16:00:00	16.344					
12	09/09/25	16:30:00	16.201					
13	09/09/25	17:00:00	16.177					
14	09/09/25	17:30:00	16.725					
15	09/09/25	18:00:00	16.630					
16	09/09/25	18:30:00	16.582					
17	09/09/25	19:00:00	16.654					
18	09/09/25	19:30:00	16.606					
19	09/09/25	20:00:00	16.534					
20	09/09/25	20:30:00	16.439					
21	09/09/25	21:00:00	16.296					
22	09/09/25	21:30:00	16.177					
23	09/09/25	22:00:00	16.010					
24	09/09/25	22:30:00	15.963					
25	09/09/25	23:00:00	15.963					
26	09/09/25	23:30:00	15.963					
27	10/09/25	00:00:00	15.963					
28	10/09/25	00:30:00	16.582					
29	10/09/25	01:00:00	16.463					
30	10/09/25	01:30:00	16.439					
31	10/09/25	02:00:00	16.511					
32	10/09/25	02:30:00	16.534					
33	10/09/25	03:00:00	16.511					
34	10/09/25	03:30:00	16.511					
35	10/09/25	04:00:00	16.487					
36	10/09/25	04:30:00	16.463					
37	10/09/25	05:00:00	16.439					
38	10/09/25	05:30:00	16.487					
39	10/09/25	06:00:00	16.487					
40	10/09/25	06:30:00	16.487					
41	10/09/25	07:00:00	16.463					
42	10/09/25	07:30:00	16.463					
43	10/09/25	08:00:00	16.463					
44	10/09/25	08:30:00	16.487					
45	10/09/25	09:00:00	16.749					
46	10/09/25	09:30:00	16.963					
47	10/09/25	10:00:00	17.106					
48	10/09/25	10:30:00	17.368					
49	10/09/25	11:00:00	17.439					
50	10/09/25	11:30:00	17.463					
51	10/09/25	12:00:00	17.082					
52	10/09/25	12:30:00	17.368					
53	10/09/25	13:00:00	16.963					
54	10/09/25	13:30:00	16.630					
55	10/09/25	14:00:00	16.654					
56	10/09/25	14:30:00	16.487					
57	10/09/25	15:00:00	16.439					
58	10/09/25	15:30:00	16.558					
59	10/09/25	16:00:00	16.534					
60	10/09/25	16:30:00	16.010					
61	10/09/25	17:00:00	15.843					
62	10/09/25	17:30:00	15.915					
63	10/09/25	18:00:00	15.819					
64	10/09/25	18:30:00	15.772					
65	10/09/25	19:00:00	15.986					
66	10/09/25	19:30:00	15.867					
67	10/09/25	20:00:00	15.843					
68	10/09/25	20:30:00	15.748					
69	10/09/25	21:00:00	15.748					
70	10/09/25	21:30:00	16.296					
71	10/09/25	22:00:00	16.344					
72	10/09/25	22:30:00	16.368					
73	10/09/25	23:00:00	16.392					
74	10/09/25	23:30:00	16.439					
75	11/09/25	00:00:00	16.463					
76	11/09/25	00:30:00	16.534					
77	11/09/25	01:00:00	16.582					
78	11/09/25	01:30:00	16.582					
79	11/09/25	02:00:00	16.344					
80	11/09/25	02:30:00	16.320					
81	11/09/25	03:00:00	15.700					
82	11/09/25	03:30:00	15.700					
83	11/09/25	04:00:00	15.509					
84	11/09/25	04:30:00	15.485					
85	11/09/25	05:00:00	15.676					
86	11/09/25	05:30:00	15.414					
87	11/09/25	06:00:00	15.270					
88	11/09/25	06:30:00	15.294					
89	11/09/25	07:00:00	15.294					
90	11/09/25	07:30:00	15.294					
91	11/09/25	08:00:00	15.294					
92	11/09/25	08:30:00	15.318					
93	11/09/25	09:00:00	15.509					
94	11/09/25	09:30:00	15.581					
95	11/09/25	10:00:00	15.390					
96	11/09/25	10:30:00	15.438					
97	11/09/25	11:00:00	15.414					
98	11/09/25	11:30:00	15.366					
99	11/09/25	12:00:00	15.390					
100	11/09/25	12:30:00	15.485					
101	11/09/25	13:00:00	15.533					
102	11/09/25	13:30:00	15.342					
103	11/09/25	14:00:00	15.461					
104	11/09/25	14:30:00	15.461					
105	11/09/25	15:00:00	15.485					
106	11/09/25	15:30:00	15.414					
107	11/09/25	16:00:00	15.390					
108	11/09/25	16:30:00	15.342					
109	11/09/25	17:00:00	15.294					
110	11/09/25	17:30:00	15.270					
111	11/09/25	18:00:00	15.294					
112	11/09/25	18:30:00	15.294					
113	11/09/25	19:00:00	15.438					
114	11/09/25	19:30:00	15.461					
115	11/09/25	20:00:00	15.485					
116	11/09/25	20:30:00	15.485					
117	11/09/25	21:00:00	15.438					
118	11/09/25	21:30:00	15.223					
119	11/09/25	22:00:00	15.127					
