"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20954370, SEN S/N: 20954370, LBL: Aire_5m_070425)"	"Acoplador separado (LGR S/N: 20954370, SEN S/N: 20954370)"	"Acoplador adjunto (LGR S/N: 20954370, SEN S/N: 20954370)"	"Host conectado (LGR S/N: 20954370, SEN S/N: 20954370)"	"Parado (LGR S/N: 20954370, SEN S/N: 20954370)"	"Final de archivo (LGR S/N: 20954370, SEN S/N: 20954370)"
1	08/04/25	12:00:00	16.201	Registrado				
2	08/04/25	13:00:00	16.225					
3	08/04/25	14:00:00	16.344					
4	08/04/25	15:00:00	16.439					
5	08/04/25	16:00:00	16.463					
6	08/04/25	17:00:00	16.392					
7	08/04/25	18:00:00	16.320					
8	08/04/25	19:00:00	16.415					
9	08/04/25	20:00:00	16.392					
10	08/04/25	21:00:00	16.153					
11	08/04/25	22:00:00	16.082					
12	08/04/25	23:00:00	16.010					
13	09/04/25	00:00:00	16.201					
14	09/04/25	01:00:00	16.249					
15	09/04/25	02:00:00	16.368					
16	09/04/25	03:00:00	16.249					
17	09/04/25	04:00:00	16.225					
18	09/04/25	05:00:00	16.201					
19	09/04/25	06:00:00	16.201					
20	09/04/25	07:00:00	16.106					
21	09/04/25	08:00:00	16.201					
22	09/04/25	09:00:00	16.249					
23	09/04/25	10:00:00	16.368					
24	09/04/25	11:00:00	16.511					
25	09/04/25	12:00:00	16.344					
26	09/04/25	13:00:00	16.701					
27	09/04/25	14:00:00	16.749					
28	09/04/25	15:00:00	16.534					
29	09/04/25	16:00:00	16.987					
30	09/04/25	17:00:00	16.463					
31	09/04/25	18:00:00	16.296					
32	09/04/25	19:00:00	16.272					
33	09/04/25	20:00:00	16.344					
34	09/04/25	21:00:00	16.487					
35	09/04/25	22:00:00	16.487					
36	09/04/25	23:00:00	16.439					
37	10/04/25	00:00:00	16.630					
38	10/04/25	01:00:00	16.582					
39	10/04/25	02:00:00	16.463					
40	10/04/25	03:00:00	16.534					
41	10/04/25	04:00:00	16.582					
42	10/04/25	05:00:00	16.654					
43	10/04/25	06:00:00	16.677					
44	10/04/25	07:00:00	16.630					
45	10/04/25	08:00:00	16.630					
46	10/04/25	09:00:00	16.630					
47	10/04/25	10:00:00	16.296					
48	10/04/25	11:00:00	16.415					
49	10/04/25	12:00:00	16.439					
50	10/04/25	13:00:00	16.511					
51	10/04/25	14:00:00	16.558					
52	10/04/25	15:00:00	16.677					
53	10/04/25	16:00:00	16.677					
54	10/04/25	17:00:00	16.654					
55	10/04/25	18:00:00	16.558					
56	10/04/25	19:00:00	16.415					
57	10/04/25	20:00:00	16.558					
58	10/04/25	21:00:00	16.415					
59	10/04/25	22:00:00	15.986					
60	10/04/25	23:00:00	16.249					
61	11/04/25	00:00:00	16.415					
62	11/04/25	01:00:00	16.368					
63	11/04/25	02:00:00	16.558					
64	11/04/25	03:00:00	16.558					
65	11/04/25	04:00:00	16.558					
66	11/04/25	05:00:00	16.249					
67	11/04/25	06:00:00	16.463					
68	11/04/25	07:00:00	16.534					
69	11/04/25	08:00:00	16.487					
70	11/04/25	09:00:00	16.487					
71	11/04/25	10:00:00	16.511					
72	11/04/25	11:00:00	16.534					
73	11/04/25	12:00:00	16.558					
74	11/04/25	13:00:00	16.582					
75	11/04/25	14:00:00	16.701					
76	11/04/25	15:00:00	16.725					
77	11/04/25	16:00:00	16.749					
78	11/04/25	17:00:00	16.677					
79	11/04/25	18:00:00	16.844					
80	11/04/25	19:00:00	16.868					
81	11/04/25	20:00:00	16.820					
82	11/04/25	21:00:00	16.677					
83	11/04/25	22:00:00	16.272					
84	11/04/25	23:00:00	15.772					
85	12/04/25	00:00:00	15.724					
86	12/04/25	01:00:00	15.939					
87	12/04/25	02:00:00	16.106					
88	12/04/25	03:00:00	16.439					
