"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 22089572, SEN S/N: 22089572, LBL: Porros_25m_09042025)"	"Acoplador separado (LGR S/N: 22089572, SEN S/N: 22089572)"	"Acoplador adjunto (LGR S/N: 22089572, SEN S/N: 22089572)"	"Host conectado (LGR S/N: 22089572, SEN S/N: 22089572)"	"Parado (LGR S/N: 22089572, SEN S/N: 22089572)"	"Final de archivo (LGR S/N: 22089572, SEN S/N: 22089572)"
1	09/04/25	12:00:00	15.652	Registrado				
2	09/04/25	13:00:00	15.652					
3	09/04/25	14:00:00	15.700					
4	09/04/25	15:00:00	15.652					
5	09/04/25	16:00:00	15.700					
6	09/04/25	17:00:00	15.533					
7	09/04/25	18:00:00	15.414					
8	09/04/25	19:00:00	15.533					
9	09/04/25	20:00:00	15.509					
10	09/04/25	21:00:00	15.485					
11	09/04/25	22:00:00	15.533					
12	09/04/25	23:00:00	15.461					
13	10/04/25	00:00:00	15.605					
14	10/04/25	01:00:00	15.629					
15	10/04/25	02:00:00	15.557					
16	10/04/25	03:00:00	15.557					
17	10/04/25	04:00:00	15.629					
18	10/04/25	05:00:00	15.629					
19	10/04/25	06:00:00	15.700					
20	10/04/25	07:00:00	15.533					
21	10/04/25	08:00:00	15.581					
22	10/04/25	09:00:00	15.342					
23	10/04/25	10:00:00	15.509					
24	10/04/25	11:00:00	15.461					
25	10/04/25	12:00:00	15.509					
26	10/04/25	13:00:00	15.509					
27	10/04/25	14:00:00	15.652					
28	10/04/25	15:00:00	15.652					
29	10/04/25	16:00:00	15.629					
30	10/04/25	17:00:00	15.605					
31	10/04/25	18:00:00	15.581					
32	10/04/25	19:00:00	15.533					
33	10/04/25	20:00:00	15.605					
34	10/04/25	21:00:00	15.605					
35	10/04/25	22:00:00	15.581					
36	10/04/25	23:00:00	15.438					
37	11/04/25	00:00:00	15.461					
38	11/04/25	01:00:00	15.390					
39	11/04/25	02:00:00	15.390					
40	11/04/25	03:00:00	15.342					
41	11/04/25	04:00:00	15.270					
42	11/04/25	05:00:00	15.294					
43	11/04/25	06:00:00	15.318					
44	11/04/25	07:00:00	15.318					
45	11/04/25	08:00:00	15.342					
46	11/04/25	09:00:00	15.366					
47	11/04/25	10:00:00	15.414					
48	11/04/25	11:00:00	15.414					
49	11/04/25	12:00:00	15.461					
50	11/04/25	13:00:00	15.390					
51	11/04/25	14:00:00	15.414					
52	11/04/25	15:00:00	15.438					
53	11/04/25	16:00:00	15.366					
54	11/04/25	17:00:00	15.342					
55	11/04/25	18:00:00	15.342					
56	11/04/25	19:00:00	15.390					
57	11/04/25	20:00:00	15.366					
58	11/04/25	21:00:00	15.438					
59	11/04/25	22:00:00	15.414					
60	11/04/25	23:00:00	15.414					
61	12/04/25	00:00:00	15.438					
62	12/04/25	01:00:00	15.438					
63	12/04/25	02:00:00	15.438					
64	12/04/25	03:00:00	15.390					
65	12/04/25	04:00:00	15.533					
